p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,specificity,n_cells,prop
2.473884752575082e-6,0.583554087421887,0.925,0.633,0.05385152329405438,13,Sgcz,0.0034869961745207963,40,0.004089143324473523
2.5191635131540563e-6,0.2965602514757767,0.3,0.089,0.0548371513543375,13,Kcnh5,0.004087676536942791,40,0.004089143324473523
2.741955689748483e-6,0.455818513958205,0.625,0.316,0.05968689145444498,13,Gabra2,0.003686525382760354,40,0.004089143324473523
3.1928857074164657e-6,0.207687391075294,0.175,0.036,0.06950273607904163,13,Neb,0.004128364278854183,40,0.004089143324473523
3.2535148230567846e-6,0.4166255965481744,0.45,0.179,0.07082251066830009,13,Runx1t1,0.004282898321890475,40,0.004089143324473523
3.7980875452836376e-6,0.4611731866882025,0.7,0.383,0.08267676968573422,13,Arglu1,0.0034466378079388285,40,0.004089143324473523
4.091135064518796e-6,0.1956240599093726,0.2,0.046,0.08905582808444515,13,Gm12064,0.0034779774725426935,40,0.004089143324473523
4.120512067274885e-6,0.2546784859739578,0.25,0.067,0.0896953066804397,13,Enc1,0.003885883697042661,40,0.004089143324473523
4.171706512356194e-6,0.2603266178794424,0.325,0.102,0.09080970736096962,13,Emc6,0.0033918301646809782,40,0.004089143324473523
4.233483261633317e-6,0.24625013297934067,0.25,0.067,0.09215446363923405,13,Npas2,0.003757283908295478,40,0.004089143324473523
4.316285382600606e-6,0.3362507581822952,0.4,0.145,0.09395690020845,13,Pacrg,0.0037930414984008094,40,0.004089143324473523
4.442596141460733e-6,0.23905463157513676,0.225,0.057,0.09670643280731724,13,Ikzf2,0.003858665727197162,40,0.004089143324473523
4.673369029800774e-6,0.21144716077180997,0.225,0.056,0.10172989704070325,13,Gm34868,0.003473990943544794,40,0.004089143324473523
4.7586344189451445e-6,0.25524858266694395,0.325,0.102,0.10358595403159793,13,Zbtb7c,0.00332566776779907,40,0.004089143324473523
4.930947017906657e-6,0.39681087411757093,0.5,0.216,0.1073368546857921,13,Phf21a,0.0037560567985564087,40,0.004089143324473523
5.024071176503069e-6,0.2542628235343317,0.25,0.068,0.1093639813701188,13,Pgbd5,0.0038224894394014767,40,0.004089143324473523
5.390083340422152e-6,0.4651629731872988,0.925,0.656,0.1173313341543094,13,Celf4,0.0026821024567164893,40,0.004089143324473523
5.499301133107777e-6,0.5211631601434943,0.9,0.503,0.1197087870654901,13,Pcdh15,0.003813120818163152,40,0.004089143324473523
5.759560997356912e-6,0.3321507195396373,0.325,0.106,0.12537412379046528,13,Cdk17,0.004164328931089531,40,0.004089143324473523
6.6834192836825925e-6,0.22417059950842225,0.25,0.068,0.14548467096720266,13,Tank,0.003370094523981957,40,0.004089143324473523
6.716077792621825e-6,0.5619341286728998,0.65,0.328,0.14619558138979188,13,Grik1,0.004553624921301256,40,0.004089143324473523
7.011835341140837e-6,0.3075126127744973,0.45,0.175,0.15263363170595373,13,Rps2,0.0032334766655612067,40,0.004089143324473523
7.169183581062872e-6,0.2888156949167896,0.35,0.119,0.1560587881925766,13,Lgi1,0.0034735552084475636,40,0.004089143324473523
7.336260824184207e-6,0.15960214351055557,0.15,0.029,0.15969572562084183,13,Rbm7,0.0033757036536613103,40,0.004089143324473523
7.856120836649667e-6,0.2197489658099187,0.25,0.069,0.17101203837218995,13,Gng7,0.003255742813773874,40,0.004089143324473523
7.903449039416838e-6,0.3567496742448915,0.45,0.182,0.17204227869002572,13,Kcnj6,0.003606924434208631,40,0.004089143324473523
7.94656471775136e-6,0.11677246631695568,0.1,0.014,0.1729808207760116,13,Gm11808,0.00341070965087349,40,0.004089143324473523
9.819192440993876e-6,0.1381420984990228,0.125,0.022,0.21374418105555468,13,Erich2,0.0032095615903752444,40,0.004089143324473523
9.897761178195251e-6,0.3028302547498697,0.325,0.109,0.21545446532695425,13,Trim24,0.0036922275437081646,40,0.004089143324473523
1.045633877275022e-5,0.23417730067876552,0.275,0.082,0.22761358240522675,13,Mettl25,0.003211411586570681,40,0.004089143324473523
1.1007530605729096e-5,0.20640531196174097,0.175,0.039,0.23961192622551097,13,Cep57l1,0.003787273285134356,40,0.004089143324473523
1.1465579843060424e-5,0.38858766279971824,0.575,0.278,0.24958274202373937,13,Ptprz1,0.003286581374832322,40,0.004089143324473523
1.1727677327639823e-5,0.3689854468991494,0.45,0.189,0.2552880800680637,13,Nell2,0.0035924628024179435,40,0.004089143324473523
1.173029456335534e-5,0.30578613654310965,0.525,0.226,0.25534505205511904,13,Zfp106,0.0029046980219245492,40,0.004089143324473523
1.1908228812332608e-5,0.20697498424590063,0.225,0.06,0.2592183247868562,13,B3gnt2,0.003173813906858015,40,0.004089143324473523
1.2309805973222077e-5,0.3715681182811578,0.475,0.202,0.2679598564250981,13,Foxn3,0.0035728354602320676,40,0.004089143324473523
